HOLDTIME 2.00
RESPWIN 1.20
REWTIME 0.10
TOTIME 7.00
3508160 TRIAL1
3513940 TT32
5527600 TON
5782552 STIMON
6802640 STIMOFF
8002640 RESPOFF
8003092 CORRECTREJECT
8003616 TOFF
8004036 TRIAL2
8008188 TT10
10022960 TON
10141156 STIMON
11161236 STIMOFF
12361236 RESPOFF
12361748 CORRECTREJECT
12362312 TOFF
12362788 TRIAL3
12370996 TT10
14386204 TON
14512784 STIMON
15532900 STIMOFF
16732900 RESPOFF
16733412 CORRECTREJECT
16733976 TOFF
16734452 TRIAL4
16742656 TT10
18757664 TON
18861476 STIMON
19881588 STIMOFF
21081588 RESPOFF
21082092 CORRECTREJECT
21082660 TOFF
21083128 TRIAL5
21091344 TT10
23106588 TON
23234068 STIMON
24254176 STIMOFF
25454176 RESPOFF
25454688 CORRECTREJECT
25455256 TOFF
25455732 TRIAL6
25463928 TT10
27479072 TON
27572784 STIMON
28592876 STIMOFF
29792876 RESPOFF
29793388 CORRECTREJECT
29793952 TOFF
29794428 TRIAL7
29802624 TT10
31817768 TON
31897388 STIMON
32917500 STIMOFF
34117500 RESPOFF
34118012 CORRECTREJECT
34118576 TOFF
34119052 TRIAL8
34127256 TT10
36142124 TON
36228060 STIMON
37248144 STIMOFF
38448144 RESPOFF
38448648 CORRECTREJECT
38449216 TOFF
38449688 TRIAL9
38457896 TT10
40472624 TON
40552712 STIMON
41572792 STIMOFF
42772792 RESPOFF
42773300 CORRECTREJECT
42773868 TOFF
42774340 TRIAL10
42783592 TT10
44800028 TON
44880316 STIMON
45900424 STIMOFF
47100424 RESPOFF
47100940 CORRECTREJECT
47101508 TOFF
47101988 TRIAL11
47111220 TT10
49126428 TON
49207940 STIMON
50228056 STIMOFF
51428056 RESPOFF
51428568 CORRECTREJECT
51429136 TOFF
51429612 TRIAL12
51438864 TT10
53453868 TON
53534620 STIMON
54554712 STIMOFF
